city	x	y
304	937	151
305	823	104
306	831	671
307	513	857
308	627	583
309	749	888
310	735	856
311	724	378
312	291	96
313	737	959
314	922	479
315	645	20
316	678	825
317	222	627
318	509	659
319	979	382
320	710	570
321	350	892
322	319	575
323	926	598
324	169	574
325	162	668
326	28	16
327	205	18
328	45	750
329	885	294
330	501	572
331	883	926
332	21	845
333	45	50
334	480	528
335	241	913
336	729	600
337	165	32
338	382	612
339	551	537
340	911	258
341	633	746
342	955	852
343	591	20
344	884	304
345	140	453
346	830	447
347	398	675
348	254	603
349	9	495
350	633	188
351	365	886
352	84	656
353	204	676
354	22	308
355	355	140
356	28	309
357	782	716
358	912	884
359	50	499
360	931	768
361	556	210
362	623	872
363	789	515
364	440	373
365	132	812
366	74	679
367	284	900
368	141	996
369	486	718
370	47	777
371	584	169
372	900	772
373	571	990
374	985	20
375	853	685
376	253	800
377	829	70
378	304	224
379	923	326
380	219	157
381	183	180
382	483	525
383	352	253
384	543	806
385	392	642
386	5	186
387	170	959
388	684	38
389	172	353
390	243	127
391	902	902
392	928	991
393	875	889
394	645	337
395	236	822
396	89	66
397	631	968
398	539	321
399	722	717
400	758	167
401	538	980
402	765	531
403	711	312
404	962	376
405	367	803
406	481	922
407	983	236
408	102	683
409	986	147
410	79	510
411	683	749
412	913	982
413	817	325
414	751	350
415	612	684
416	759	415
417	909	551
418	735	6
419	283	884
420	752	280
421	53	710
422	735	51
423	111	490
424	493	335
425	450	97
426	49	796
427	86	948
428	146	317
429	238	315
430	860	712
431	422	996
432	185	528
433	944	971
434	351	173
435	64	645
436	644	70
437	282	85
438	199	700
439	696	27
440	562	953
441	537	758
442	473	10
443	570	317
444	69	481
445	185	981
446	678	958
447	719	969
448	942	826
449	290	71
450	204	893
451	573	990
452	695	878
453	655	825
454	343	154
455	627	795
456	29	559
457	963	914
458	976	416
459	454	930
460	560	413
461	859	652
462	52	360
463	841	43
464	702	668
465	149	754
466	180	793
467	427	218
468	313	676
469	19	813
470	916	416
471	12	799
472	847	531
473	585	299
474	275	579
475	495	356
476	230	257
477	762	156
478	731	131
479	884	604
480	865	538
481	334	629
482	128	410
483	745	797
484	122	620
485	862	211
486	98	64
487	449	377
488	837	210
489	541	74
490	419	733
491	477	269
492	727	748
493	726	608
494	261	870
495	965	806
496	913	984
497	360	241
498	520	799
499	418	723
500	945	653
501	136	756
502	805	863
503	647	548
504	542	464
505	342	374
506	106	201
507	415	842
508	669	360
509	628	955
510	141	487
511	498	71
512	217	116
513	108	328
514	567	277
515	485	17
516	928	225
517	95	79
518	852	18
519	559	728
520	106	497
521	27	807
522	43	152
523	973	354
524	336	915
525	985	568
526	154	709
527	859	705
528	717	350
529	198	371
530	908	121
531	3	797
532	286	59
533	233	529
534	693	217
535	122	687
536	614	980
537	606	191
538	57	516
539	668	510
540	149	26
541	87	206
542	606	206
543	55	814
544	166	141
545	304	25
546	693	678
547	302	879
548	184	375
549	677	258
550	25	204
551	320	893
552	469	242
553	141	809
554	772	366
555	441	791
556	181	313
557	328	874
558	35	161
559	928	563
560	175	885
561	726	879
562	41	164
563	783	94
564	577	921
565	900	717
566	383	316
567	2	759
568	871	659
569	69	470
570	739	207
571	942	479
572	137	57
573	94	919
574	253	647
575	804	497
576	212	611
577	787	568
578	909	222
579	773	291
580	780	832
581	189	309
582	248	824
583	917	428
584	790	765
585	20	156
586	660	117
587	799	713
588	773	125
589	282	17
590	580	457
591	78	228
592	869	462
593	113	645
594	309	453
595	17	146
596	458	852
597	663	653
598	712	728
599	550	20
600	38	661
601	993	271
602	432	960
603	289	812
604	182	494
605	569	812
606	415	181
607	206	20
608	387	459
609	728	894
610	788	455
611	351	293
612	825	229
613	719	108
614	740	38
615	270	890
616	697	637
617	97	306
618	461	507
619	163	674
620	917	891
621	234	202
622	430	167
623	811	124
624	494	858
625	215	323
626	384	163
627	806	649
628	499	955
629	266	562
630	743	752
631	747	827
632	789	593
633	263	503
634	494	767
635	809	587
636	428	98
637	587	355
638	988	598
639	69	272
640	26	684
641	598	50
642	429	378
643	630	231
644	850	323
645	224	579
646	886	72
647	119	468
648	265	744
649	109	980
650	930	898
651	649	627
652	303	877
653	444	972
654	511	95
655	88	542
656	743	489
657	567	640
658	501	957
659	382	682
660	22	493
661	178	210
662	217	882
663	61	199
664	355	610
665	65	405
666	987	604
667	920	152
668	541	477
669	131	93
670	652	850
671	706	796
672	922	33
673	280	769
674	818	536
675	71	632
676	365	364
677	164	485
678	972	986
679	466	782
680	477	80
681	136	813
682	377	141
683	292	734
684	420	155
685	221	91
686	394	631
687	983	37
688	417	890
689	165	260
690	454	126
691	485	440
692	370	641
693	863	762
694	205	661
695	103	308
696	641	224
697	720	627
698	256	351
699	899	595
700	492	246
701	951	227
702	343	752
703	380	860
704	526	623
705	512	248
706	160	646
707	105	308
708	86	432
709	760	367
710	509	380
711	687	390
712	329	46
713	87	22
714	150	195
715	671	396
716	389	684
717	81	200
718	262	483
719	744	359
720	259	584
721	672	758
722	497	35
723	274	430
724	840	5
725	115	877
726	994	380
727	59	732
728	163	411
729	409	502
730	825	645
731	729	435
732	405	282
733	949	163
734	111	81
735	367	6
736	414	115
737	391	815
738	259	617
739	232	935
740	435	367
741	638	980
742	115	91
743	403	262
744	653	478
745	385	43
746	625	440
747	369	432
748	902	261
749	977	505
750	337	452
751	133	623
752	309	762
753	727	419
754	379	215
755	875	287
756	249	557
757	23	170
758	587	519
759	442	41
760	261	571
761	753	917
762	712	579
763	65	680
764	619	832
765	192	301
766	735	836
767	263	471
768	255	563
769	974	311
770	418	103
771	820	120
772	822	436
773	315	30
774	648	389
775	212	867
776	923	344
777	908	28
778	623	876
779	749	778
780	820	503
781	440	987
782	108	705
783	825	737
784	973	162
785	359	191
786	667	894
787	768	565
788	322	696
789	853	186
790	87	514
791	441	422
792	562	236
793	537	732
794	158	283
795	95	642
796	917	293
797	651	870
798	973	397
799	926	804
800	363	879
801	256	339
802	735	815
803	679	269
804	140	876
805	613	800
806	315	14
807	996	379
808	881	181
809	195	216
810	68	325
811	414	540
812	614	78
813	569	522
814	428	562
815	993	611
816	324	406
817	837	129
818	441	881
819	709	63
820	933	609
821	128	782
822	834	572
823	485	285
824	561	98
825	5	187
826	53	987
827	889	731
828	705	386
829	359	992
830	652	36
831	285	594
832	241	104
833	122	918
834	550	470
835	204	496
836	305	520
837	652	339
838	999	698
839	493	60
840	912	226
841	852	256
842	140	543
843	762	469
844	380	722
845	439	934
846	665	224
847	122	976
848	116	298
849	949	246
850	969	87
851	982	72
852	8	920
853	918	350
854	698	629
855	541	80
856	153	397
857	556	313
858	334	306
859	602	193
860	686	839
861	127	309
862	726	887
863	331	546
864	512	124
865	12	591
866	823	401
867	138	766
868	106	419
869	95	7
870	101	385
871	986	900
872	360	297
873	740	137
874	438	943
875	763	155
876	286	531
877	846	853
878	206	106
879	664	429
880	639	257
881	870	593
882	367	429
883	234	422
884	648	529
885	448	288
886	301	198
887	603	368
888	324	940
889	733	172
890	518	319
891	477	951
892	40	914
893	954	295
894	326	681
895	857	110
896	114	137
897	187	52
898	405	591
899	260	764
900	317	594
901	958	410
902	177	171
903	630	210
904	769	526
905	464	702
906	813	265
907	87	927
908	340	69
909	439	283
910	955	286
911	34	876
912	905	963
913	606	205
914	511	47
915	129	15
916	37	880
917	736	215
918	424	337
919	420	442
920	814	35
921	520	854
922	617	195
923	508	7
924	774	479
925	958	831
926	141	596
927	106	976
928	357	726
929	254	199
930	604	276
931	129	207
932	777	92
933	904	451
934	597	857
935	516	750
936	361	866
937	958	861
938	353	277
939	109	938
940	482	900
941	787	707
942	373	696
943	529	209
944	891	76
945	423	814
946	820	935
947	925	416
948	25	183
949	19	135
950	484	888
951	561	82
952	433	100
953	154	16
954	489	831
955	886	890
956	322	373
957	80	200
958	388	80
959	957	507
960	817	1
961	448	901
962	117	686
963	588	143
964	679	114
965	3	963
966	150	3
967	189	394
968	200	65
969	174	535
970	398	556
971	306	287
972	36	946
973	318	602
974	605	790
975	482	784
976	916	453
977	561	353
978	23	505
979	354	949
980	158	747
981	687	834
982	430	499
983	598	419
984	810	683
985	834	614
986	214	204
987	182	29
988	847	119
989	490	509
990	340	742
991	766	26
992	775	379
993	67	610
994	937	569
995	597	827
996	86	367
997	483	820
